,filename,label
0,7_hiphop.00083.pt,hiphop
1,1_hiphop.00028.pt,hiphop
2,1_hiphop.00010.pt,hiphop
3,4_hiphop.00081.pt,hiphop
4,7_hiphop.00088.pt,hiphop
5,9_hiphop.00080.pt,hiphop
6,2_hiphop.00098.pt,hiphop
7,1_hiphop.00044.pt,hiphop
8,3_hiphop.00029.pt,hiphop
9,8_hiphop.00061.pt,hiphop
10,2_hiphop.00091.pt,hiphop
11,0_hiphop.00078.pt,hiphop
12,5_hiphop.00084.pt,hiphop
13,3_hiphop.00022.pt,hiphop
14,1_hiphop.00075.pt,hiphop
15,1_hiphop.00071.pt,hiphop
16,8_hiphop.00021.pt,hiphop
17,8_hiphop.00074.pt,hiphop
18,4_hiphop.00024.pt,hiphop
19,8_hiphop.00081.pt,hiphop
20,2_hiphop.00001.pt,hiphop
21,0_hiphop.00011.pt,hiphop
22,8_hiphop.00077.pt,hiphop
23,8_hiphop.00069.pt,hiphop
24,2_hiphop.00018.pt,hiphop
25,9_hiphop.00054.pt,hiphop
26,7_hiphop.00019.pt,hiphop
27,7_hiphop.00049.pt,hiphop
28,6_hiphop.00011.pt,hiphop
29,3_hiphop.00091.pt,hiphop
30,2_hiphop.00045.pt,hiphop
31,9_hiphop.00097.pt,hiphop
32,4_hiphop.00054.pt,hiphop
33,7_hiphop.00030.pt,hiphop
34,5_hiphop.00092.pt,hiphop
35,6_hiphop.00093.pt,hiphop
36,6_hiphop.00030.pt,hiphop
37,0_hiphop.00032.pt,hiphop
38,1_hiphop.00001.pt,hiphop
39,7_hiphop.00065.pt,hiphop
40,7_hiphop.00091.pt,hiphop
41,2_hiphop.00060.pt,hiphop
42,2_hiphop.00085.pt,hiphop
43,3_hiphop.00074.pt,hiphop
44,3_hiphop.00046.pt,hiphop
45,0_hiphop.00053.pt,hiphop
46,5_hiphop.00077.pt,hiphop
47,5_hiphop.00088.pt,hiphop
48,0_hiphop.00087.pt,hiphop
49,1_hiphop.00004.pt,hiphop
50,6_hiphop.00072.pt,hiphop
51,0_hiphop.00094.pt,hiphop
52,9_hiphop.00006.pt,hiphop
53,8_hiphop.00051.pt,hiphop
54,1_hiphop.00067.pt,hiphop
55,1_hiphop.00000.pt,hiphop
56,5_hiphop.00011.pt,hiphop
57,5_hiphop.00022.pt,hiphop
58,3_hiphop.00083.pt,hiphop
59,0_hiphop.00027.pt,hiphop
60,1_hiphop.00068.pt,hiphop
61,2_hiphop.00000.pt,hiphop
62,1_hiphop.00005.pt,hiphop
63,8_hiphop.00089.pt,hiphop
64,1_hiphop.00089.pt,hiphop
65,0_hiphop.00041.pt,hiphop
66,8_hiphop.00079.pt,hiphop
67,4_hiphop.00071.pt,hiphop
68,9_hiphop.00083.pt,hiphop
69,3_hiphop.00087.pt,hiphop
70,2_hiphop.00025.pt,hiphop
71,7_hiphop.00050.pt,hiphop
72,2_hiphop.00069.pt,hiphop
73,0_hiphop.00060.pt,hiphop
74,2_hiphop.00024.pt,hiphop
75,6_hiphop.00036.pt,hiphop
76,7_hiphop.00001.pt,hiphop
77,0_hiphop.00039.pt,hiphop
78,5_hiphop.00040.pt,hiphop
79,9_hiphop.00007.pt,hiphop
80,2_hiphop.00061.pt,hiphop
81,8_hiphop.00052.pt,hiphop
82,9_hiphop.00044.pt,hiphop
83,5_hiphop.00095.pt,hiphop
84,5_hiphop.00054.pt,hiphop
85,3_hiphop.00011.pt,hiphop
86,7_hiphop.00092.pt,hiphop
87,4_hiphop.00056.pt,hiphop
88,3_hiphop.00090.pt,hiphop
89,8_hiphop.00012.pt,hiphop
90,4_hiphop.00014.pt,hiphop
91,8_hiphop.00068.pt,hiphop
92,0_hiphop.00061.pt,hiphop
93,7_hiphop.00018.pt,hiphop
94,8_hiphop.00080.pt,hiphop
95,3_hiphop.00028.pt,hiphop
96,4_hiphop.00001.pt,hiphop
97,9_hiphop.00029.pt,hiphop
98,3_hiphop.00045.pt,hiphop
99,4_hiphop.00004.pt,hiphop
100,5_hiphop.00069.pt,hiphop
101,7_hiphop.00063.pt,hiphop
102,8_hiphop.00072.pt,hiphop
103,8_hiphop.00036.pt,hiphop
104,9_hiphop.00036.pt,hiphop
105,3_hiphop.00077.pt,hiphop
106,3_hiphop.00041.pt,hiphop
107,3_hiphop.00014.pt,hiphop
108,5_hiphop.00015.pt,hiphop
109,2_hiphop.00028.pt,hiphop
110,2_hiphop.00078.pt,hiphop
111,8_hiphop.00086.pt,hiphop
112,8_hiphop.00047.pt,hiphop
113,8_hiphop.00083.pt,hiphop
114,0_hiphop.00033.pt,hiphop
115,1_hiphop.00047.pt,hiphop
116,9_hiphop.00084.pt,hiphop
117,2_hiphop.00043.pt,hiphop
118,7_hiphop.00068.pt,hiphop
119,5_hiphop.00033.pt,hiphop
120,5_hiphop.00093.pt,hiphop
121,5_hiphop.00041.pt,hiphop
122,1_hiphop.00057.pt,hiphop
123,5_hiphop.00032.pt,hiphop
124,9_hiphop.00069.pt,hiphop
125,7_hiphop.00040.pt,hiphop
126,4_hiphop.00070.pt,hiphop
127,0_hiphop.00089.pt,hiphop
128,1_hiphop.00069.pt,hiphop
129,9_hiphop.00001.pt,hiphop
130,0_hiphop.00080.pt,hiphop
131,9_hiphop.00032.pt,hiphop
132,3_hiphop.00030.pt,hiphop
133,6_hiphop.00059.pt,hiphop
134,4_hiphop.00049.pt,hiphop
135,9_hiphop.00009.pt,hiphop
136,9_hiphop.00093.pt,hiphop
137,1_hiphop.00074.pt,hiphop
138,9_hiphop.00050.pt,hiphop
139,1_hiphop.00098.pt,hiphop
140,1_hiphop.00050.pt,hiphop
141,7_hiphop.00036.pt,hiphop
142,0_hiphop.00093.pt,hiphop
143,6_hiphop.00019.pt,hiphop
144,6_hiphop.00017.pt,hiphop
145,4_hiphop.00082.pt,hiphop
